Page;VisualID;HtmlTagName;HtmlCpOp;ModelTagName;ParameterName;ModelTagName_1;ParameterName_1;ModelTagName_2;ParameterName_2
Rotterdam_RX;DataAck;27TI187;;T_27TI187;Value;;;;
Rotterdam_RX;DataAck;27TY9006;;T_27TY9006;Value;;;;
Rotterdam_RX;DataAck;27TY9001;;T_27TY9001;Value;;;;
Rotterdam_RX;DataAck;27TY9002;;T_27TY9002;Value;;;;
Rotterdam_RX;DataAck;27TY9003;;T_27TY9003;Value;;;;
Rotterdam_RX;DataAck;27TY9004;;T_27TY9004;Value;;;;
Rotterdam_RX;DataAck;33AI883A;;T_33AI883A;Value;;;;
Rotterdam_RX;DataAck;10TI21;;T_10TI21;Value;;;;
Rotterdam_RX;DataAck;27AN339;;T_27AN339;Value;;;;
Rotterdam_RX;DataAck;27TY9007;;T_27TY9007;Value;;;;
Rotterdam_SOGA;DataAck;27PI393;;T_27PI393;Value;;;;
Rotterdam_SOGA;DataAck;27FI386;;T_27FI386;Value;;;;
Rotterdam_SOGA;DataAck;27TI387;;T_27TI387;Value;;;;
Rotterdam_SOGA;DataAck;27TI286;;T_27TI286;Value;;;;
Rotterdam_SOGA;DataAck;27TY396;;T_27TY396;Value;;;;
Rotterdam_STR;DataAck;27TI263;;T_27TI263;Value;;;;
Rotterdam_STR;DataAck;27PI295;;T_27PI295;Value;;;;
Rotterdam_STR;DataAck;27PI265;;T_27PI265;Value;;;;
Rotterdam_STR;DataAck;27TI292;;T_27TI292;Value;;;;
Rotterdam_STR;DataAck;27TI299;;T_27TI299;Value;;;;
Rotterdam_STR;DataAck;27TI466;;T_27TI466;Value;;;;
Rotterdam_STR;DataAck;27FI298;;T_27FI298;Value;;;;
Rotterdam_STR;DataAck;27TI475;;T_27TI475;Value;;;;
Rotterdam_STR;DataAck;27TI266;;T_27TI266;Value;;;;
Rotterdam_STR;DataAck;27TI472;;T_27TI472;Value;;;;
Rotterdam_STR;DataAck;27PI319;;T_27PI319;Value;;;;
Rotterdam_STR;DataAck;27FI316;;T_27FI316;Value;;;;
Rotterdam_STR;DataAck;27PI474;;T_27PI474;Value;;;;
Rotterdam_STR;DataAck;27TI306;;T_27TI306;Value;;;;
Rotterdam_STR;DataAck;27TI473;;T_27TI473;Value;;;;
Rotterdam_STR;DataAck;27TI294;;T_27TI294;Value;;;;
Rotterdam_STR;DataAck;27FI322;;T_27FI322;Value;;;;
